"EN STOR FLAD STEN",32,15,"Der er skraveret noget p†! Der st†r : ` T-/..S  I=H--  U)+LST ' Det m† v‘re et  fremmet sprog!"
"EN HJ P’L",34,21,"Den er meget lige og mindst 10 meter h›j. Den kaster sin skygge p† stenene.     Her m† v‘re intelligent liv!"
"EN CIRKEL AF STEN",34,21,"Der er 8 sten. Hver af dem har noget skraveret p† : `(=' `(L' `H+' `//' `-L'    `TI' `/S' og `=V'. Skyggen fra p‘len falder mellem sten nr. 3 og 4."
"EN LIAN",36,21,"Den ender et sted oppe i tr‘kronerne. "
"EN SLAGS BD!",36,21,"Den er gammel og ›delagt, men nogen har lavet den!"
"EN TR’STAMME",40,18,"Den er halvanden meter lang og cirka 1/2 meter i diameter. Tr‘et er meget let ogbl›dt."
"EN KIKKERT",4,1,"Den forst›rrer op til 11 gange."
"EN LYGTE",6,1,"Det er en lille, men kraftig lygte."
"EN SKRUENGLE",6,2,"Det er en universalskruen›gle."
"NOGLE MINERALER",0,5,"De burde unders›ges hjemme p† jorden."
"EN FLINTKSE",41,2,"Hvem mon har lavet den ??? Den er et d†rligt v†ben, men et godt redskab."
"EN STOR PORT",0,21,"Den er dekoreret med et skr‘kindjagende hoved! I munden kan man INDS’TTE noget."
"EN PRIMITIV BD",0,15,"Du har jo selv lavet den!"
"EN LYSENDE STEN",0,1,"Tja, den lyyyser!"
"EN SLAGS KRAN",0,21,"Den har et 60 meter langt reb bundet p†, som h‘nger ned ad skr‘nten."
"ET V’LTET TR’",68,21,"z"
"ET MENNESKESKELET!!!",0,21,"Den ene arm er br‘kket. Der er ogs† nogle ridser p† ribenene. Rundt omkring     sidder der rester af en rumdragt. Der er ogs† et lille skilt, hvorp† der st†r   'Ray Murdoch'."
"EN RUND PLADE",71,10,"Der er tegnet noget p†, som ligner en flamme. Den kan flyttes."
"ET DYBT HUL",0,21,"En stank af br‘ndt k›d stiger op fra det! P† bunden l›ber der lava og der liggerforkulede rester af et eller andet!"
"ET VRAG AF ET RUMSKIB!",82,21,"z"
"ET BREV",0,0,"Skibet ramt af en lyn, da vi rekognoscerede i lav h›jde. Kaptajn Merril og FrankLinsbourg dr‘bt ved styrtet. Ray Murdoch forsvundet da vi kom til bevidsthed.   Bruce Wildbird s†ret. Vi tager nordp† efter hj‘lp. Jim O'Brien, 220852."
"EN LILLE PORT",84,21,"Den ser holdbar ud, men den kan ikke v‘re til at holde folk ude med, da der er  et stort hjul p†."
"ET STORT HJUL",84,21,"Okay, det er ikke et vognhjul. Mon s† ikke det er et hjul, som kan drejes?"
"ET PAR BRILLER",86,1,"De stammer i hvert fald ikke her fra planeten. Det ene glas er knust."
"EN LILLE KRUKKE",88,3,"Den er fyldt med noget gult pulver."
"EN UNDERLIG TR’FIGUR",88,2,"Den ligner et menneske, men hovedet er ikke et menneskes!"
"ET LILLE FAD",90,3,"Der ligger en tyk, klistret masse i. N†hja, harpiks!"
"ET STYKKE STOF",90,1,"Det er et stykke fra en rumdragt!"
"ET LILLE HUL",90,3,"Det er gjort t‘t med ler og er fyldt med blod!!!"
"EN BEN PORT",0,21,"x"
"EN MEGET STOR STEN",96,21,"Den d‘kker for udgangen til hulen. Den m† veje mindst en ton!"
"NOGLE TR’ST’NGER",96,6,"Der er 7 st‘nger. De er ca. 3 cm. i diameter og ca. 50 cm. lange."
"NOGET BLT PULVER",99,2,"Det er noget groft pulver."
"TO M’ND",96,21,"x"
"JIM O'BRIEN",0,21,"Han ser lidt svag og snavset ud, men ellers ok."
"JOHN FOREHAM",0,21,"Han ser forkommen og svag ud. Hullerne i hans forrevne t›j viser flere steder   s†r og rifter."
"NOGLE TR’ST’NGER",0,6,"De har harpiks p† spidserne, s† n‘sten hvad som helst vil kunne h‘nge fast p†   dem."
"NOGLE TR’ST’NGER",0,6,"De har gult pulver p† spidserne, s† de ligner k‘mpestore t‘ndstikker"
"3 BR’NDENDE TR’ST’NGER",0,2,"Det vil vare lang tid, f›r de er br‘ndt ud."
"KROLEV ANDRELOV",4,21,"Han er meget syg. Det ligner et mavonde. Han har feber og mumler noget om, at   missionen skal fuldf›res."
